Vibration,Temperature,Force
45.45,17.42,-0.48
45.51,17.34,-0.48
25.93,18.20,0.01
25.91,16.71,0.01
26.21,17.10,0.01
26.17,17.14,0.01
26.05,17.06,0.01
26.05,17.14,0.01
25.97,18.16,0.01
25.93,18.20,0.01
25.91,16.71,0.01
26.21,17.10,0.01
26.17,17.14,0.01
26.05,17.06,0.01
26.05,17.14,0.01
25.97,18.16,0.01
25.93,18.20,0.01
25.91,16.71,0.01
25.93,15.73,0.03
25.81,15.73,0.03
25.93,17.53,0.04
25.87,13.45,0.09
25.87,19.46,0.10
25.87,20.04,0.11
25.87,20.04,0.13
25.85,17.26,0.15
25.73,11.18,0.16
25.85,7.14,0.21
25.79,20.01,0.23
25.79,11.26,0.26
25.63,8.83,0.30
25.79,15.65,0.31
25.75,17.93,0.32
25.75,17.38,0.33
25.69,13.49,0.34
25.73,11.57,0.36
25.73,12.12,0.36
25.81,15.69,0.37
25.75,19.22,0.42
25.75,15.93,0.45
25.81,17.61,0.46
25.85,19.22,0.51
25.81,20.04,0.54
25.79,20.04,0.55
25.85,15.77,0.58
25.87,20.04,0.58
25.91,16.08,0.59
25.85,11.92,0.60
25.85,9.49,0.61
25.81,9.26,0.63
