Vibration,Temperature,Force
23.11,20.04,-0.31
23.15,20.04,-0.31
23.15,20.04,-0.30
23.15,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.29,20.04,-0.31
23.27,20.04,-0.31
23.21,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.21,20.04,-0.31
23.23,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.21,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.15,20.04,-0.31
23.17,20.04,-0.31
23.15,20.04,-0.31
23.15,20.04,-0.31
23.11,20.04,-0.31
23.21,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.15,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.27,20.04,-0.31
23.35,20.04,-0.31
23.33,20.04,-0.31
23.29,20.04,-0.31
23.33,20.04,-0.31
23.29,20.04,-0.31
23.27,20.04,-0.31
23.35,20.04,-0.31
23.27,20.04,-0.31
23.33,20.04,-0.31
23.33,20.04,-0.30
23.33,20.04,-0.31
23.21,20.04,-0.31
23.17,20.04,-0.30
23.15,20.04,-0.30
23.33,20.04,-0.30
23.33,20.04,-0.29
