Vibration,Temperature,Force
23.75,17.02,0.01
23.79,17.14,0.01
23.85,16.99,0.01
23.93,17.06,0.01
23.99,16.99,0.01
23.93,17.02,0.01
23.81,17.10,0.01
23.75,16.95,0.01
23.71,17.22,0.01
23.79,17.14,0.01
23.71,16.95,0.01
23.79,17.53,0.01
23.79,16.91,0.01
23.79,17.14,0.01
23.75,16.91,0.01
23.75,16.95,0.01
23.75,17.06,0.01
23.91,16.08,0.00
23.97,14.75,0.01
23.99,17.42,0.00
23.97,17.02,0.00
23.99,14.40,0.00
23.99,14.24,0.00
23.97,17.06,0.00
23.99,18.40,0.00
23.99,19.69,0.00
24.21,17.02,0.00
24.35,14.28,0.00
24.35,19.34,0.01
24.29,17.38,0.01
24.35,16.08,0.01
24.39,16.20,0.01
24.33,15.26,0.01
24.23,15.97,0.01
24.23,17.97,0.01
24.23,17.85,0.00
24.23,16.36,0.01
24.23,19.02,0.01
24.21,19.18,0.00
24.09,15.81,0.01
24.15,16.75,0.01
24.15,16.63,0.01
24.15,16.20,0.01
24.11,17.30,0.01
24.11,20.04,0.01
24.05,17.46,0.01
24.09,16.48,0.01
24.11,18.16,0.01
24.09,17.18,0.01
23.99,16.40,0.00
